#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2013 01 11 22 25 180  3.1 99.0  0.30 99.00 99.00 999 1012.1   3.0 999.0 999.0  6.0 99.00
2013 01 12 01 00 190  4.9 99.0  0.30 99.00 99.00 999 1009.4   4.0 999.0 999.0  6.0 99.00
2013 01 12 13 15 195  4.9 99.0  0.90 99.00 99.00 999 1001.9   5.0 999.0 999.0  6.0 99.00
2013 01 12 16 10 220  4.5 99.0  1.20 99.00 99.00 999 1005.0   6.0 999.0 999.0  6.0 99.00
2013 01 12 20 30 260  3.6 99.0  0.60 99.00 99.00 999 1010.4   2.0 999.0 999.0  6.0 99.00
2013 01 12 22 00 230  1.8 99.0  0.30 99.00 99.00 999 1011.4   1.0 999.0 999.0  6.0 99.00
2013 01 13 01 10 300  3.6 99.0  0.60 99.00 99.00 999 1012.1  -2.0 999.0 999.0  6.0 99.00
2013 01 13 13 25 300  2.2 99.0  0.90 99.00 99.00 999 1014.1  -5.0 999.0 999.0  6.0 99.00
2013 01 13 15 55 310  3.1 99.0  0.30 99.00 99.00 999 1014.4  -5.0 999.0 999.0  6.0 99.00
2013 01 13 19 10 270  3.1 99.0  0.30 99.00 99.00 999 1014.1  -4.0 999.0 999.0  6.0 99.00
2013 01 13 22 50 340  2.2 99.0  0.30 99.00 99.00 999 1012.8  -6.0 999.0 999.0  6.0 99.00
2013 01 14 01 20 340  4.5 99.0  0.30 99.00 99.00 999 1015.5  -7.0 999.0 999.0  6.0 99.00
2013 01 14 13 11 300  4.5 99.0  0.60 99.00 99.00 999 1026.6 -13.0 999.0 999.0  6.0 99.00
2013 01 14 15 45 300  4.0 99.0  0.00 99.00 99.00 999 1028.3  -9.0 999.0 999.0  6.0 99.00
2013 01 14 18 50 225  4.5 99.0  0.30 99.00 99.00 999 1027.7  -6.0 999.0 999.0  6.0 99.00
2013 01 14 21 55 240  3.6 99.0  0.00 99.00 99.00 999 1027.7  -6.0 999.0 999.0  6.0 99.00
2013 01 15 00 55 300  1.8 99.0  0.30 99.00 99.00 999 1027.3  -8.0 999.0 999.0  6.0 99.00
2013 01 15 12 50 240  1.3 99.0  0.00 99.00 99.00 999 1027.7 -13.0 999.0 999.0  6.0 99.00
2013 01 15 15 50 210  4.5 99.0  0.00 99.00 99.00 999 1026.3  -6.0 999.0 999.0  6.0 99.00
2013 01 15 18 55 190  4.5 99.0  0.00 99.00 99.00 999 1023.2  -3.0 999.0 999.0 99.0 99.00
2013 01 15 21 50 210  4.9 99.0  0.30 99.00 99.00 999 1022.6  -2.0 999.0 999.0  6.0 99.00
2013 01 16 00 55 220  3.6 99.0  0.30 99.00 99.00 999 1022.6  -4.0 999.0 999.0  6.0 99.00
2013 01 16 13 10 240  4.5 99.0  0.00 99.00 99.00 999 9999.0  -4.0 999.0 999.0  6.0 99.00
2013 01 16 19 05 290  3.1 99.0  0.60 99.00 99.00 999 1005.0  -1.0 999.0 999.0  3.0 99.00
2013 01 16 20 50 170  2.2 99.0  0.90 99.00 99.00 999 1007.7  -3.0 999.0 999.0  3.0 99.00
2013 01 16 22 05 310  4.5 99.0  0.60 99.00 99.00 999 1008.7  -1.0 999.0 999.0  3.0 99.00
2013 01 17 00 55 310  2.7 99.0  0.60 99.00 99.00 999 1010.7  -1.0 999.0 999.0  6.0 99.00
2013 01 17 13 00 320  2.7 99.0  0.30 99.00 99.00 999 1022.9  -8.0 999.0 999.0  6.0 99.00
2013 01 17 16 00 335  2.2 99.0  0.30 99.00 99.00 999 1025.3  -9.0 999.0 999.0  6.0 99.00
2013 01 17 18 50 300  4.0 99.0  0.30 99.00 99.00 999 1023.9  -7.0 999.0 999.0  6.0 99.00
2013 01 17 22 20 310  5.4 99.0  0.30 99.00 99.00 999 1024.6  -9.0 999.0 999.0  6.0 99.00
2013 01 18 00 55 310  2.2 99.0  0.60 99.00 99.00 999 1026.0 -11.0 999.0 999.0  6.0 99.00
2013 01 18 12 50 230  2.2 99.0  0.30 99.00 99.00 999 1025.6 -12.0 999.0 999.0  6.0 99.00
2013 01 18 15 55 180  8.5 99.0  0.60 99.00 99.00 999 1019.2  -6.0 999.0 999.0  1.0 99.00
2013 01 18 18 55 205  4.9 99.0  0.90 99.00 99.00 999 1012.4  -1.0 999.0 999.0  6.0 99.00
2013 01 18 22 55 200  2.7 99.0 99.00 99.00 99.00 999 1009.7   2.0 999.0 999.0  6.0 99.00
2013 01 19 12 55  10  0.9 99.0  0.00 99.00 99.00 999 1007.3  -4.0 999.0 999.0  3.0 99.00
2013 01 19 15 55 170  3.6 99.0  0.30 99.00 99.00 999 1007.3  -1.0 999.0 999.0  3.0 99.00
2013 01 19 18 45 190  4.5 99.0  0.30 99.00 99.00 999 1002.3   2.0 999.0 999.0  6.0 99.00
2013 01 19 21 55 230  2.7 99.0  0.00 99.00 99.00 999  999.9   5.0 999.0 999.0  6.0 99.00
2013 01 20 00 55 310  6.7 99.0 99.00 99.00 99.00 999  998.9   2.0 999.0 999.0  6.0 99.00
2013 01 20 13 20 310  4.5 99.0  0.30 99.00 99.00 999 1019.2 999.0 999.0 999.0  6.0 99.00
2013 01 20 15 50 290  4.5 99.0  0.30 99.00 99.00 999 1019.2 999.0 999.0 999.0  6.0 99.00
2013 01 20 18 55 305  5.4 99.0  0.30 99.00 99.00 999 1022.6 999.0 999.0 999.0  6.0 99.00
2013 01 20 21 50 270  5.8 99.0  0.00 99.00 99.00 999 1022.6 999.0 999.0 999.0  6.0 99.00
2013 01 21 00 50 290  1.8 99.0  0.00 99.00 99.00 999 1022.6 999.0 999.0 999.0  6.0 99.00
2013 01 21 12 55 295  2.2 99.0  0.00 99.00 99.00 999 1017.8 999.0 999.0 999.0  6.0 99.00
2013 01 21 16 55 330  8.9 99.0  0.30 99.00 99.00 999 1018.8 999.0 999.0 999.0  6.0 99.00
2013 01 21 19 05 310  6.7 99.0  0.30 99.00 99.00 999 1017.5 999.0 999.0 999.0  6.0 99.00
2013 01 21 22 00 270  6.7 99.0  0.60 99.00 99.00 999 1017.5 999.0 999.0 999.0  6.0 99.00
2013 01 22 01 05 310  5.4 99.0  0.60 99.00 99.00 999 1021.9 999.0 999.0 999.0  6.0 99.00
2013 01 22 12 55 290  3.1 99.0  0.00 99.00 99.00 999 1023.9 999.0 999.0 999.0  6.0 99.00
2013 01 22 16 15 330  4.0 99.0  0.00 99.00 99.00 999 1024.6 999.0 999.0 999.0 99.0 99.00
2013 01 22 18 55 270  4.0 99.0  0.30 99.00 99.00 999 1024.3 999.0 999.0 999.0  6.0 99.00
2013 01 22 22 05 310  4.5 99.0  0.30 99.00 99.00 999 1024.3 999.0 999.0 999.0  6.0 99.00
2013 01 23 00 40 260  2.2 99.0  0.30 99.00 99.00 999 1024.3 999.0 999.0 999.0  6.0 99.00
2013 01 23 13 40 290  2.2 99.0  0.00 99.00 99.00 999 1020.9 999.0 999.0 999.0  6.0 99.00
2013 01 23 15 40 270  3.1 99.0  0.00 99.00 99.00 999 1022.6 -15.0 999.0 999.0  6.0 99.00
2013 01 23 18 40 270  3.1 99.0  0.00 99.00 99.00 999 1018.5 -12.0 999.0 999.0  3.0 99.00
2013 01 23 21 35 310  4.0 99.0  0.30 99.00 99.00 999 1018.5 -12.0 999.0 999.0  6.0 99.00
2013 01 24 00 55 310  3.6 99.0  0.00 99.00 99.00 999 1019.9 -12.0 999.0 999.0  6.0 99.00
2013 01 24 12 50 310  2.7 99.0  0.00 99.00 99.00 999 1032.7 -17.0 999.0 999.0  6.0 99.00
2013 01 24 15 50 310  4.9 99.0  0.30 99.00 99.00 999 1036.5 -13.0 999.0 999.0  6.0 99.00
2013 01 24 18 55 350  2.7 99.0  0.30 99.00 99.00 999 9999.0 -11.0 999.0 999.0  6.0 99.00
2013 01 24 21 50 300  1.8 99.0  0.00 99.00 99.00 999 1034.4 -11.0 999.0 999.0  6.0 99.00
2013 01 25 00 40 330  1.3 99.0  0.00 99.00 99.00 999 1032.7 -12.0 999.0 999.0  3.0 99.00
2013 01 25 13 06 220  2.2 99.0  0.00 99.00 99.00 999 1019.2  -9.0 999.0 999.0  6.0 99.00
2013 01 25 17 35 200  3.1 99.0  1.20 99.00 99.00 999 1020.9  -8.0 999.0 999.0  1.0 99.00
2013 01 25 19 45 200  2.2 99.0  0.60 99.00 99.00 999 1013.8  -8.0 999.0 999.0  6.0 99.00
2013 01 25 22 00 290  2.2 99.0  0.60 99.00 99.00 999 1014.1  -8.0 999.0 999.0  3.0 99.00
2013 01 26 01 15 290  1.3 99.0  0.30 99.00 99.00 999 1016.1 -11.0 999.0 999.0  6.0 99.00
2013 01 26 13 05 290  4.0 99.0  0.90 99.00 99.00 999 1023.2 -13.0 999.0 999.0  6.0 99.00
2013 01 26 15 55 320  4.9 99.0  0.90 99.00 99.00 999 1016.1  -9.0 999.0 999.0  6.0 99.00
2013 01 26 18 50 320  4.5 99.0  0.30 99.00 99.00 999 1026.6  -4.0 999.0 999.0  6.0 99.00
2013 01 26 22 15 280  1.3 99.0  0.30 99.00 99.00 999 1027.3  -6.0 999.0 999.0  6.0 99.00
2013 01 27 01 05 230  1.8 99.0  0.60 99.00 99.00 999 1028.0  -7.0 999.0 999.0  1.0 99.00
2013 01 27 13 10 210  3.1 99.0  0.60 99.00 99.00 999 1024.9  -2.0 999.0 999.0  6.0 99.00
2013 01 27 17 10 200  8.0 99.0  0.60 99.00 99.00 999 1024.3   0.0 999.0 999.0  6.0 99.00
2013 01 27 19 00 200  7.2 99.0  0.60 99.00 99.00 999 1022.6   1.0 999.0 999.0  6.0 99.00
2013 01 27 21 55 180  6.3 99.0  1.20 99.00 99.00 999 1020.5   0.0 999.0 999.0  0.3 99.00
2013 01 28 01 00 150  7.2 99.0 99.00 99.00 99.00 999 1017.8  -1.0 999.0 999.0  6.0 99.00
2013 01 28 13 06 270  1.3 99.0  0.30 99.00 99.00 999 1009.0   1.0 999.0 999.0  6.0 99.00
2013 01 28 15 40 310  3.6 99.0  0.60 99.00 99.00 999 1009.0   1.0 999.0 999.0  6.0 99.00
2013 01 28 19 00 300  3.1 99.0  0.00 99.00 99.00 999 1012.1   1.0 999.0 999.0  6.0 99.00
2013 01 28 21 45 340  1.3 99.0  0.00 99.00 99.00 999 1013.1   1.0 999.0 999.0  6.0 99.00
2013 01 29 00 45  85  1.8 99.0  0.30 99.00 99.00 999 1014.8   1.0 999.0 999.0  3.0 99.00
2013 01 29 13 00 120  2.2 99.0  0.00 99.00 99.00 999 1002.9   2.0 999.0 999.0  3.0 99.00
2013 01 29 15 50 170  3.6 99.0 99.00 99.00 99.00 999 1000.6   3.0 999.0 999.0  0.3 99.00
2013 01 29 18 50 200  3.1 99.0  0.30 99.00 99.00 999  999.2   3.0 999.0 999.0  0.5 99.00
2013 01 29 22 00   2 99.0 99.0  0.00 99.00 99.00 999 1000.9   3.0 999.0 999.0  0.3 99.00
2013 01 30 00 55 345  1.8 99.0  0.30 99.00 99.00 999 1000.6   3.0 999.0 999.0  3.0 99.00
2013 01 30 13 01 360  2.2 99.0  0.00 99.00 99.00 999  996.8  -1.0 999.0 999.0  6.0 99.00
2013 01 30 16 05 350  4.0 99.0  0.30 99.00 99.00 999  994.5  -3.0 999.0 999.0  0.5 99.00
2013 01 30 18 55 360  4.5 99.0 99.00 99.00 99.00 999  992.1  -3.0 999.0 999.0  0.3 99.00
2013 01 30 22 20 330  3.1 99.0  0.90 99.00 99.00 999  992.1  -6.0 999.0 999.0  6.0 99.00
2013 01 31 13 06 270  3.6 99.0  0.60 99.00 99.00 999 1002.6 -12.0 999.0 999.0  6.0 99.00
2013 01 31 16 00 310  4.9 99.0  0.60 99.00 99.00 999 1005.6 -10.0 999.0 999.0  6.0 99.00
2013 01 31 21 25 310  4.0 99.0  0.30 99.00 99.00 999 1008.7  -9.0 999.0 999.0  6.0 99.00
2013 01 31 21 55 320  4.5 99.0  0.60 99.00 99.00 999 1009.0  -9.0 999.0 999.0  6.0 99.00
2013 02 01 13 06 330  4.5 99.0  0.00 99.00 99.00 999 1019.9 -18.0 999.0 999.0  0.5 99.00
2013 02 01 15 50 300  4.5 99.0 99.00 99.00 99.00 999 1022.2 -16.0 999.0 999.0  6.0 99.00
2013 02 01 18 50 260  4.5 99.0  0.30 99.00 99.00 999 1022.6 -16.0 999.0 999.0  6.0 99.00
2013 02 01 21 55 255  3.6 99.0  0.00 99.00 99.00 999 1020.9 -17.0 999.0 999.0  6.0 99.00
2013 02 02 00 45 270  4.0 99.0  0.00 99.00 99.00 999 1020.5 -17.0 999.0 999.0  6.0 99.00
2013 02 02 12 45 360  3.1 99.0  0.00 99.00 99.00 999 1018.5 -17.0 999.0 999.0  6.0 99.00
2013 02 02 15 55 310  4.9 99.0  0.00 99.00 99.00 999 1018.8 -15.0 999.0 999.0  6.0 99.00
2013 02 02 18 35 300  3.6 99.0  0.30 99.00 99.00 999 1018.5 -11.0 999.0 999.0  6.0 99.00
2013 02 02 18 55 310  3.1 99.0  0.00 99.00 99.00 999 1017.8 -11.0 999.0 999.0  6.0 99.00
2013 02 02 21 50 310  2.2 99.0  0.00 99.00 99.00 999 1019.2 -11.0 999.0 999.0  6.0 99.00
2013 02 03 00 40 270  2.2 99.0 99.00 99.00 99.00 999 1018.8 -15.0 999.0 999.0  0.3 99.00
2013 02 03 13 00 300  4.9 99.0  0.00 99.00 99.00 999 1012.4 -14.0 999.0 999.0  6.0 99.00
2013 02 03 15 35 300  3.6 99.0  0.00 99.00 99.00 999 1011.7 -12.0 999.0 999.0  6.0 99.00
2013 02 03 18 50 300  5.4 99.0 99.00 99.00 99.00 999 1012.1  -8.0 999.0 999.0  6.0 99.00
2013 02 03 21 55 320  4.5 99.0  0.00 99.00 99.00 999 1012.4  -9.0 999.0 999.0  6.0 99.00
2013 02 04 01 00 270  1.3 99.0 99.00 99.00 99.00 999 1014.1 -15.0 999.0 999.0  0.3 99.00
2013 02 04 15 56 310  2.7 99.0  0.30 99.00 99.00 999 1015.8 -12.0 999.0 999.0  6.0 99.00
2013 02 04 22 25 230  2.2 99.0  0.30 99.00 99.00 999 1013.8 -11.0 999.0 999.0  6.0 99.00
2013 02 05 01 10 270  2.2 99.0  0.30 99.00 99.00 999 1014.1 -13.0 999.0 999.0  6.0 99.00
2013 02 05 13 16 190  4.5 99.0  0.60 99.00 99.00 999 1012.4 -11.0 999.0 999.0  0.5 99.00
2013 02 05 16 45 260  3.1 99.0  0.60 99.00 99.00 999 1006.7  -8.0 999.0 999.0  6.0 99.00
2013 02 05 19 00 280  5.8 99.0  0.90 99.00 99.00 999 1006.7  -6.0 999.0 999.0  6.0 99.00
2013 02 05 22 20 280  2.2 99.0 99.00 99.00 99.00 999 1009.0  -6.0 999.0 999.0  3.0 99.00
2013 02 06 01 05 300  1.3 99.0 99.00 99.00 99.00 999 1012.4  -7.0 999.0 999.0  1.0 99.00
2013 02 06 12 55 330  3.6 99.0  0.00 99.00 99.00 999 1022.2 -16.0 999.0 999.0  6.0 99.00
2013 02 07 01 00 295  1.3 99.0  0.00 99.00 99.00 999 1021.2  -6.0 999.0 999.0  6.0 99.00
2013 02 07 13 11 180  1.3 99.0  0.00 99.00 99.00 999 1019.2 999.0 999.0 999.0  1.0 99.00
2013 02 07 15 40 170  4.5 99.0  0.90 99.00 99.00 999 1019.2   0.0 999.0 999.0  0.5 99.00
2013 02 07 18 50 100  4.0 99.0  0.30 99.00 99.00 999 1017.2   0.0 999.0 999.0  6.0 99.00
2013 02 07 21 55  65  5.4 99.0  0.00 99.00 99.00 999 1015.8  -1.0 999.0 999.0  0.3 99.00
