#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 07 01 00 20 180  3.1 99.0  0.90 99.00 99.00 999 9999.0  21.0 999.0 999.0  6.0 99.00
2012 07 01 12 26 300  1.3 99.0  0.30 99.00 99.00 999 9999.0  21.0 999.0 999.0  6.0 99.00
2012 07 01 13 55 220  0.9 99.0  0.30 99.00 99.00 999 9999.0  23.0 999.0 999.0  6.0 99.00
2012 07 01 15 55 130  0.9 99.0  0.30 99.00 99.00 999 9999.0  24.0 999.0 999.0  6.0 99.00
2012 07 01 18 40 170  4.0 99.0  0.90 99.00 99.00 999 9999.0  22.0 999.0 999.0  6.0 99.00
2012 07 01 20 25 160  1.3 99.0  0.30 99.00 99.00 999 9999.0  22.0 999.0 999.0  6.0 99.00
2012 07 01 22 20 130  1.3 99.0  0.30 99.00 99.00 999 9999.0  22.0 999.0 999.0  6.0 99.00
2012 07 02 00 05 130  1.3 99.0  0.00 99.00 99.00 999 9999.0  22.0 999.0 999.0  6.0 99.00
2012 07 02 02 25 270  0.9 99.0  0.00 99.00 99.00 999 9999.0  19.0 999.0 999.0  6.0 99.00
2012 07 02 23 25 180  4.5 99.0  0.00 99.00 99.00 999 9999.0  22.0 999.0 999.0  6.0 99.00
2012 07 03 00 20 150  3.1 99.0  0.00 99.00 99.00 999 9999.0  20.0 999.0 999.0  6.0 99.00
2012 07 03 16 20 180  2.7 99.0  0.00 99.00 99.00 999 9999.0  20.0 999.0 999.0  6.0 99.00
2012 07 04 13 20  80  2.2 99.0  0.00 99.00 99.00 999 9999.0  26.0 999.0 999.0  6.0 99.00
2012 07 04 14 00  60  3.6 99.0  0.00 99.00 99.00 999 9999.0  23.0 999.0 999.0  6.0 99.00
2012 07 04 16 25  50  2.7 99.0  0.30 99.00 99.00 999 9999.0  24.0 999.0 999.0  6.0 99.00
2012 07 04 18 20  70  1.8 99.0  0.60 99.00 99.00 999 9999.0  23.0 999.0 999.0  3.0 99.00
2012 07 04 20 25  30  2.2 99.0  0.30 99.00 99.00 999 9999.0  23.0 999.0 999.0  6.0 99.00
2012 07 04 23 10  60  2.7 99.0  0.60 99.00 99.00 999 9999.0  24.0 999.0 999.0  3.0 99.00
2012 07 05 12 22 190  1.8 99.0  0.00 99.00 99.00 999 9999.0  22.0 999.0 999.0  6.0 99.00
2012 07 05 14 35 310  2.7 99.0  0.30 99.00 99.00 999 9999.0  29.0 999.0 999.0  6.0 99.00
2012 07 05 16 30 320  4.5 99.0  0.60 99.00 99.00 999 9999.0  32.0 999.0 999.0  6.0 99.00
2012 07 05 18 15 140  1.8 99.0  0.30 99.00 99.00 999 9999.0 999.0 999.0 999.0  6.0 99.00
2012 07 05 20 25 180  2.7 99.0  0.00 99.00 99.00 999 9999.0  25.0 999.0 999.0  6.0 99.00
2012 07 05 22 15 130  1.8 99.0  0.30 99.00 99.00 999 9999.0  24.0 999.0 999.0  6.0 99.00
2012 07 06 00 15 100  1.3 99.0  0.30 99.00 99.00 999 9999.0  23.0 999.0 999.0 99.0 99.00
2012 07 06 12 26 290  0.9 99.0  0.00 99.00 99.00 999 9999.0  23.0 999.0 999.0  6.0 99.00
2012 07 06 14 10  80  1.8 99.0  0.00 99.00 99.00 999 9999.0  25.0 999.0 999.0  6.0 99.00
2012 07 06 20 40  65  2.7 99.0  0.00 99.00 99.00 999 9999.0  25.0 999.0 999.0  6.0 99.00
2012 07 06 22 10 100  2.2 99.0  0.00 99.00 99.00 999 9999.0  25.0 999.0 999.0  6.0 99.00
2012 07 07 11 46 335  1.8 99.0  0.00 99.00 99.00 999 9999.0  19.0 999.0 999.0  6.0 99.00
2012 07 07 15 20  45  2.7 99.0  0.00 99.00 99.00 999 9999.0  20.0 999.0 999.0  6.0 99.00
2012 07 07 16 35  65  6.3 99.0  0.30 99.00 99.00 999 9999.0  22.0 999.0 999.0  6.0 99.00
2012 07 07 20 20  70  2.7 99.0  0.30 99.00 99.00 999 9999.0  23.0 999.0 999.0  6.0 99.00
2012 07 08 01 40 335  1.3 99.0  0.00 99.00 99.00 999 9999.0  22.0 999.0 999.0  6.0 99.00
2012 07 08 18 45 180  3.6 99.0  0.30 99.00 99.00 999 9999.0  23.0 999.0 999.0  6.0 99.00
2012 07 08 20 05 180  3.6 99.0  0.60 99.00 99.00 999 9999.0  24.0 999.0 999.0  6.0 99.00
2012 07 09 14 26  40  3.1 99.0  0.00 99.00 99.00 999 9999.0 999.0 999.0 999.0  6.0 99.00
2012 07 09 18 10  45  3.1 99.0  0.30 99.00 99.00 999 9999.0  22.0 999.0 999.0  6.0 99.00
2012 07 09 21 00  60  3.1 99.0  0.30 99.00 99.00 999 9999.0  21.0 999.0 999.0  6.0 99.00
2012 07 09 22 15  30  2.2 99.0  0.30 99.00 99.00 999 9999.0  20.0 999.0 999.0  6.0 99.00
2012 07 10 00 30  70  2.2 99.0  0.30 99.00 99.00 999 9999.0  22.0 999.0 999.0  6.0 99.00
2012 07 10 02 35 310  1.3 99.0  0.30 99.00 99.00 999 9999.0  17.0 999.0 999.0  6.0 99.00
2012 07 10 13 06  50  1.3 99.0  0.00 99.00 99.00 999 9999.0  21.0 999.0 999.0  6.0 99.00
2012 07 10 14 43  60  2.7 99.0  0.00 99.00 99.00 999 9999.0  21.0 999.0 999.0  6.0 99.00
2012 07 10 16 20  70  3.6 99.0  0.30 99.00 99.00 999 9999.0  21.0 999.0 999.0  6.0 99.00
2012 07 10 18 05  90  3.1 99.0  0.60 99.00 99.00 999 9999.0  22.0 999.0 999.0  6.0 99.00
2012 07 10 20 15  90  3.1 99.0  0.30 99.00 99.00 999 9999.0  22.0 999.0 999.0  6.0 99.00
