#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2015 01 01 01 20  24  3.6 99.0  0.30 99.00 99.00 999 1015.8  -8.3 999.0 999.0  1.0 99.00
2015 01 02 16 30  29  4.5 99.0  0.30 99.00 99.00 999 9999.0  -8.3 999.0 999.0  6.0 99.00
2015 01 02 19 10 320  2.2 99.0  0.30 99.00 99.00 999 1026.0  -5.0 999.0 999.0  6.0 99.00
2015 01 02 21 50 220  1.8 99.0  0.30 99.00 99.00 999 1025.3  -6.1 999.0 999.0  6.0 99.00
2015 01 03 01 05 300  1.8 99.0 99.00 99.00 99.00 999 1024.6  -8.9 999.0 999.0  6.0 99.00
2015 01 03 12 50 130  6.3 99.0  0.30 99.00 99.00 999 1016.5   0.0 999.0 999.0  1.0 99.00
2015 01 04 01 00 360  0.9 99.0  0.30 99.00 99.00 999 1011.7   0.6 999.0 999.0  1.0 99.00
2015 01 04 12 45 310  7.2 99.0  0.00 99.00 99.00 999 1011.1  -7.2 999.0 999.0  0.5 99.00
2015 01 04 16 00 290  6.3 99.0  0.30 99.00 99.00 999 1014.4 -10.6 999.0 999.0  6.0 99.00
2015 01 04 19 00 320  6.7 99.0  0.30 99.00 99.00 999 1015.8 -11.1 999.0 999.0  6.0 99.00
2015 01 04 22 10 270  6.7 99.0  0.30 99.00 99.00 999 9999.0 -12.8 999.0 999.0  6.0 99.00
2015 01 05 12 50 320  2.7 99.0  0.00 99.00 99.00 999 1032.1 -24.4 999.0 999.0  6.0 99.00
2015 01 05 16 10  30  4.5 99.0  0.00 99.00 99.00 999 9999.0 -22.2 999.0 999.0  6.0 99.00
2015 01 05 18 55  28  4.5 99.0  0.00 99.00 99.00 999 9999.0 -18.9 999.0 999.0  6.0 99.00
2015 01 05 22 05 270  2.7 99.0  0.00 99.00 99.00 999 1032.7 -18.9 999.0 999.0  6.0 99.00
2015 01 06 01 00 270  2.7 99.0 99.00 99.00 99.00 999 1031.0 -18.9 999.0 999.0  0.3 99.00
2015 01 06 16 00 230  3.6 99.0  0.00 99.00 99.00 999 1022.9 -17.8 999.0 999.0  6.0 99.00
2015 01 06 18 50 240  3.1 99.0  0.00 99.00 99.00 999 1019.5 -12.2 999.0 999.0  6.0 99.00
2015 01 06 22 35  33  2.7 99.0  0.00 99.00 99.00 999 9999.0 -13.9 999.0 999.0  6.0 99.00
2015 01 07 01 50 300  4.9 99.0  0.30 99.00 99.00 999 1019.5 -16.1 999.0 999.0  0.3 99.00
2015 01 07 13 00 330  4.5 99.0 99.00 99.00 99.00 999 1034.4 -19.4 999.0 999.0  1.0 99.00
2015 01 07 21 50 300  4.5 99.0  0.30 99.00 99.00 999 1036.1 -17.5 999.0 999.0  6.0 99.00
2015 01 08 00 55 300  6.7 99.0  0.30 99.00 99.00 999 1036.1 -20.6 999.0 999.0  3.0 99.00
2015 01 08 12 50 260  4.0 99.0  0.30 99.00 99.00 999 1022.6 -19.4 999.0 999.0  0.3 99.00
2015 01 08 15 55 210  2.2 99.0  0.30 99.00 99.00 999 1019.2 -16.7 999.0 999.0  3.0 99.00
2015 01 08 19 00 190  5.8 99.0  0.30 99.00 99.00 999 1009.0 -15.0 999.0 999.0  0.5 99.00
2015 01 08 21 55 240  5.4 99.0  0.30 99.00 99.00 999 1006.7 -15.6 999.0 999.0  1.0 99.00
2015 01 09 00 55 280  4.5 99.0  0.30 99.00 99.00 999 1014.4 -15.0   0.0 999.0  0.5 99.00
