#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 01 01 00 50 320  4.0 99.0  0.30 99.00 99.00 999 1025.6 -17.0 999.0 999.0  6.0 99.00
2014 01 01 13 05 330  3.6 99.0 99.00 99.00 99.00 999 1026.6 -18.0 999.0 999.0  6.0 99.00
2014 01 01 15 55 290  3.6 99.0 99.00 99.00 99.00 999 1029.3 -16.0 999.0 999.0  6.0 99.00
2014 01 02 18 45 360  3.6 99.0  0.30 99.00 99.00 999 1026.0 -10.0 999.0 999.0  6.0 99.00
2014 01 03 00 55 290  2.7 99.0 99.00 99.00 99.00 999 1026.6 -14.0 999.0 999.0  6.0 99.00
2014 01 03 13 00 300  2.2 99.0  0.00 99.00 99.00 999 1027.7 -21.0 999.0 999.0  1.0 99.00
2014 01 04 13 06 220  5.8 99.0  1.20 99.00 99.00 999 1003.3  -4.0 999.0 999.0  1.0 99.00
2014 01 04 15 55 260  2.2 99.0  0.90 99.00 99.00 999 1005.3  -3.0 999.0 999.0  6.0 99.00
2014 01 04 18 45 270  2.7 99.0  0.90 99.00 99.00 999 1006.0  -2.0 999.0 999.0  6.0 99.00
2014 01 04 21 50 360  2.2 99.0  1.20 99.00 99.00 999 1010.7  -3.0 999.0 999.0  6.0 99.00
2014 01 06 00 55 320  6.7 99.0  0.30 99.00 99.00 999 9999.0 -14.0 999.0 999.0  6.0 99.00
2014 01 07 00 00 300  5.4 99.0  0.60 99.00 99.00 999 1015.8 -26.0 999.0 999.0  0.5 99.00
2014 01 07 15 55 270  6.7 99.0  0.00 99.00 99.00 999 1018.8 -25.0 999.0 999.0  0.5 99.00
2014 01 07 18 20 320  4.5 99.0  0.30 99.00 99.00 999 1018.5 -22.0 999.0 999.0  3.0 99.00
2014 01 07 20 55 270  4.5 99.0  0.00 99.00 99.00 999 1019.2 -19.0 999.0 999.0  3.0 99.00
2014 01 08 01 00 280  2.2 99.0  0.30 99.00 99.00 999 9999.0 -21.0 999.0 999.0 99.0 99.00
2014 01 08 15 55 290  4.5 99.0  0.30 99.00 99.00 999 1027.7 -17.0 999.0 999.0  3.0 99.00
2014 01 08 18 50 300  4.0 99.0  0.00 99.00 99.00 999 1026.6 -16.0 999.0 999.0  6.0 99.00
2014 01 08 21 45 310  2.2 99.0 99.00 99.00 99.00 999 1029.3 -16.0 999.0 999.0  6.0 99.00
2014 01 09 00 50 220  1.3 99.0 99.00 99.00 99.00 999 1030.0 -20.0 999.0 999.0  3.0 99.00
2014 01 09 12 45 300  4.5 99.0 99.00 99.00 99.00 999 1029.3 -23.0 999.0 999.0  3.0 99.00
2014 01 09 22 05 220  3.6 99.0  0.30 99.00 99.00 999 1025.3  -7.0 999.0 999.0  6.0 99.00
2014 01 10 00 55 220  2.2 99.0  0.30 99.00 99.00 999 1024.3  -6.0 999.0 999.0  3.0 99.00
2014 01 10 12 50 230  3.1 99.0 99.00 99.00 99.00 999 1015.8  -3.0 999.0 999.0  3.0 99.00
2014 01 10 16 25 190  5.4 99.0  0.30 99.00 99.00 999 1015.8 999.0 999.0 999.0 99.0 99.00
